Comment,Category,Keyword
Recebi apenas 1 detector de metal e a compra foram de 2 unidades. Como podemos resolver isso? Aguardo orientações.,Pedido Errado,quantidade
Comprei dois pares de aliança e chegou apenas duas unidades masculinas em minha casa! Estou aguardando resposta da empresa para envio das outras duas unidades femeninas que não cheopu!,Pedido Errado,quantidade
Eu recebi desta loja apenas dois pendentes. Paguei o boleto antecipado e um produto não veio: Trata-se de um Pendente Em Alumínio Meia Bola Medio Escovado no valor de R$ 90 . Quero $ de volta.,Logística,recebimento
Vcs tá deixando a desejar comprei produtos com vcs e vcs demora entregar e ainda cancela o pedido sem autorização,Logística,atraso
Prazo esgotado. Produto ainda não entregue,Logística,prazo
Recebi apenas 1 perfume (perfume H2O). O perfume Ototemo NÃO recebi ainda. Estou preocupada pois no pedido consta que recebi dois perfumes!!!,Logística,recebimento
"O produto chegou bem antes do prazo, mas com defeito, veio quebrado o lugar de fazer o encaixar. Muito bonitinha, mas frágil. Tentei realizar a troca pelo site e não consegui.",Qualidade,avaria
ainda nao recebi e a ultima informacao sobre p produto e do dia 08/12/2017.,Logística,recebimento
O película de vidro veio com defeito e não estou conseguindo resolver o problema.,Qualidade,defeito
"O PRODUTO É BOM, MAS QUASE 2 MESES PARA RECEBER !!!!",Outros,análise inconclusiva
Só veio uma capa comprei 3 aí paguei. Mais de 100 reais por uma capa,Pedido Errado,quantidade
"Não é original, infelizmente o pós vendas da stark é extremamente ruim, pois já entrei em contato e até agora nada, aí consegui ligar para o fornecedor parceiro que já devolveu o dinheiro.",Qualidade,qualidade
Já entrei em contato com a lannister pelo telefone e eles me falam q vai mandar o link direto com o parceiro pra eu saber detalhes da entrega da conta e esse link n veio. Péssimo suporte ao cliente,Qualidade,qualidade
Não recebi o produto não recebi uma justificativa do vendedor. entrei em contato mas até agora não obtive uma resposta.,Atendimento,vendedor
Ainda não recebi minha capa de sofá tô aguardando,Logística,recebimento
"Ainda não recebi o produto... varios dias que fiz a compra. entrega demorada pelas compras que faço online, ainda estou aguardando a entrega",Logística,atraso
Infelizmente compensa pagar um pouco mais e comprar em loja física na sua cidade todas as lojas inclusive stark estão com péssimo prazo de entrega dos produtos!,Qualidade,qualidade
"Já solicitei devolução do produto. Veio amassado, parece que houve uma queda",Atendimento,devolução
Não recebi o produto que comprei e paguei.,Logística,recebimento
"O mp3 player é muito bonito e pequeno. Contudo, o som dele é muito ruim, com ruídos e chiados. Troquei o fone de ouvido pelo da apple, mas não mudou nada. O problema é na qualidade do produto mesmo.",Qualidade,qualidade
Recebi o produto errado. Comprei original e recebi produtos paralelos. Reciclados. Picareta,Pedido Errado,produto errado
"Comprei duas bonecas baby kiss Sid nil dia 07/12/17 e eles entregaram somente 1 boneca ,não veio junto nota fiscal,caixa amassada e também não consigo contato com a lannister o telefone só da ocupado",Atendimento,contato
Não posso avaliar o que não recebi,Logística,recebimento
Mudarei a avaliação se tudo der certo .,Outros,análise inconclusiva
Relógio que comprei foi uma replica do original.,Qualidade,originalidade
Produto veio diferente ao anuncuado. Liguei e só esperando o código para a devolução do produto e reembolso do valor pago.,Qualidade,divergência
"Falta de respeito com consumidor; produto mal embalado, vidros sem lacre vazando; náo recebi autorização de devolução, mesmo tendo reclamado no dia da entrega; o pior, terei que levar ao correio",Pedido Errado,cor
não fiquei satisfeito com o material do produto,Qualidade,material
Ate agora nao revebi o produto. Espero que ao menos a pontuação tenha sido feita de acordo com a promoção.,Pedido Errado,cor
Me venderam um produto que não tinham para entregar,Logística,entrega
O botão para abrir o carro não está funcionando.,Qualidade,funcionalidade
ROUBO! Na nota fiscal são 2 unidades mas no embrulho vem apenas UMA. Querem cobrar sem entregar?,Pedido Errado,quantidade
"No site da lannister a data de entrega seria 04/01, mas no código de rastreio o produto foi postado no correio no dia 04/01, ou seja, o produto ainda está em trânsito no dia de hoje 06/01.",Pedido Errado,cor
"Entregaram os produtos, mas, Não cumpriram o prazo de entrega passou do prazo.",Logística,prazo
"Minha compra veio pela metade , comprei uma capinha de celular e uma película de vidro somente veio a capinha a película não veio",Outros,comprei
"Dois dias após o prazo, um mês após a compra e nada do produto chegar!! Frete caro e ineficiente!!",Logística,prazo
"Recebi o produto com cx aberta , sem lacre, sem nota fiscal, sem pedido de compra e com remetente diferente do anuncio. Quero devolucao do dinheiro. Descontentamento",Qualidade,divergência
Recebi uma escova de outra marca. Não consigo resolver o problema. Péssimos atendimentos das lojas lannister e parceira!!!,Qualidade,qualidade
"O pedido não foi feito no dia 03/7, como consta neste formulário. Até que o produto seja entregue, não tenho como recomendar a loja. Há que aguardar.",Logística,status entrega
Gente ainda não recebi minha encomenda. Como fasso pra vocês enviarem de novo,Logística,recebimento
"Recebi produto errado à uma semana. Aceitei mas o valor do produto entregue é menor. Pedi reembolso mas até agora nada, faz 9 dias já",Pedido Errado,produto errado
"Produto não foi entregue, entregaram somente um envelope vazio, sem nada, nem um papel dentro, um absurdo, puro golpe, caso de POLICIA.",Pedido Errado,quantidade
O produto não foi entregue na minha casa Tive q ir buscar na agência Paguei 20 reais de frete é ainda assim não recebi em casa,Logística,status entrega
"O tecido não era oq eu esperava, parece uma borracha, igual aos plásticos q forravamos as mesas em tempo do colégio. Abri apenas uma e a outra nem abri, por favor me façam a troca deste priduto",Pedido Errado,quantidade
O tamanho é pequeno e percebi depois que no anúncio não dá destaque as dimensões do produto. Deixa a desejar,Pedido Errado,tamanho
To esperando até agora nunca recebi nenhum relógio eu comprei não recomendado essa loja,Logística,recebimento
ESPERO NUNCA MAIS COMPRAR E TER QUE RESPONDER ESSE TIPO DE AVALIAÇÃO,Atendimento,comunicação
Comprei com a voltagem 220 e veio 110v,Pedido Errado,quantidade
"Produto mal feito, torto, com as soldas mal feitas.",Outros,análise inconclusiva
Comprei um produto que está com defeito e não consigo trocar da erro no site.,Qualidade,defeito
no site dizia que chegaria até 13/03 e ainda não chegou!,Logística,chegada
"Não realiza o que promete, depois de instalado fica vazando pelo cartucho, mesmo seguindo as instruções, não vale a pena, dinheiro jogado fora.",Atendimento,financeiro
AINDA NAO RECEBI MINHA MAQUINA DE SOLDA,Logística,recebimento
"Sempre comprei e não tiver problema, porém dessa vem sim meus produtos não chegou até agora",Logística,chegada
"Data prevista para entrega 17/5, estamos com urgência desse produto e nada.",Logística,entrega
Não recebi até agora a mercadoria.,Logística,recebimento
"preciso receber esse produto , deve ter sido entregue a outra pessoa",Logística,status entrega
Não cumpriu o prazo de entrega. Já se passaram dois dias do combinado.,Logística,prazo
. O produto nao vem na embalagem origiaal e simplismente foi colocado uma gota de uma base qualquer em um tubinho de plastico que nao é a original simplesmente anuncio verdadeiramente enganacao.,Qualidade,originalidade
A compra foi feita em 30/06/17 e previsão de entrega era 13/07/17. Estamos no dia 17/07/17 e até agora nada. Esquema de entrega dessa loja é um fracasso.,Logística,entrega
"Minha avaliação ta sendo esta pq aqui aparece q recebi o produto e ainda não chegou em casa.Por favor, queria saber o q está acontecendo ??? Atenciosamente,  Juliana",Logística,recebimento
Material inferior ao que demonstrava na imagem.,Qualidade,material
Comprei uma coisa e me entregaram outra e não consigo fazer a troca e não consigo falar com a central !,Atendimento,comunicação
Mais de mês que comprei e não tive nenhum retorno.,Outros,comprei
A tampa ficou pequena e não cobriu todo o cooktoop,Outros,análise inconclusiva
Produto na propaganda e um do que chegou e outro,Pedido Errado,produto diferente
"Cartucho HP 60 colorido não funciona, impressora não reconhece como HP. Solicito instruções para devolução do produto e do dinheiro já pago..No Reclame Aqui tem varias queixas de produtos da targaryen .",Qualidade,funcionalidade
Não recebi o produto e por isso sem condições de avaliação.,Logística,recebimento
"Não foi entregue a chupeta, veio apenas o Esterilizador a Vapor para Microondas - Philips Avent.",Logística,status entrega
"Indo para 2 meses da compra e até agora nada do produto. Simplesmente péssimo, não recomendo.",Qualidade,qualidade
o cabo não funcionou em nenhum dos meus dispositivos mesmo confirmando a compatibilidae,Outros,análise inconclusiva
"comprei três cabos USB,macho e femea,cada um com 5m. Dois vieram com defeitos ,o windows não o reconhece.",Qualidade,defeito
o produto nao poder ser avaliado ainda nao recebi,Logística,recebimento
"Comprei 4 produtos, sendo que só recebi 3. Faltou um lençol branco sem elástico. Foi quase R$ 100,00. E como eu fico? No prejuizo?",Pedido Errado,faltou
estou aguardando posicionamento da loja sobre a entrega,Logística,entrega
O produto comprado foi Mbp-662 o fornecido foi MPB33S,Outros,análise inconclusiva
"O produto que eu comprei não foi entregue, já reclamei e ainda não obtive resposta.",Atendimento,comunicação
Produto péssimo. Com emblema de ponta-cabeça (invertido) e contém avaria. Já fiz contato com a loja através do e-mail e ninguém respondeu.  Quero meu dinheiro de volta assim como instruções sobre com,Qualidade,qualidade
"Quando fui comprar o produto, dizia que havia em estoque. Quando comprei, o produto ficou pendente pq não havia mais no estoque. Porém foi descontado do meu cartão.",Outros,comprei
Comprei o Iso X e recebi o Nitro Hard,Logística,recebimento
Não recebi o produto é a loja não respondeu nenhuma das minhas reclamações ou duvidas.,Logística,recebimento
Tentei obter uma resposta sobre o atraso de meu pedido diretamente com o fornecedor e não obtive resposta. Precisei entrar em contato com a lannister para intrrmediar isso.,Atendimento,comunicação
"Comprei uma pelúcia do Creeper Minecraft e a qualidade é de loja de 1,99. Quando se liga para o SAC não se consegue falar com ninguém.",Qualidade,defeito
"Comprei 6 cartuchos, recebi apenas 4 unidades após o prazo de entrega, e ate hoje estou tentando entrar em contato para uma solução, mas sem sucesso.",Pedido Errado,quantidade
Não recebi até hoje o produto depois de mais de 2 meses da compra,Logística,recebimento
Falta de respeito resumi meus sentimentos em relação a vcs,Outros,análise inconclusiva
Simplesmente não recebi o produto,Logística,recebimento
"Comprei dois pendentes,Quando fui fazer a retirada nos Correios só tinha um. Estou aguardado uma posição da empresa.",Pedido Errado,cor
Produto está até hoje na unidade do correio em Cajamar e não chegou em minha casa. Estraviou?,Pedido Errado,quantidade
Falta receber o protetor de porta e os jogos de cama de solteiro,Outros,análise inconclusiva
Não veio o produto correto que solicitei,Pedido Errado,cor
Recebi produto diferente do que comprei. Abri reclamação tem 05 dias e continuo aguardando solução,Qualidade,divergência
"Minha encomenda chegou antes do prazo estipulado ,porém o produto veio em desacordo com o pedido ,ao invés de vir um cartucho pg 145 preto e um cartuchu pg 146 color ,vieram os doi pg 145 preto . E ag",Pedido Errado,cor
Já solicitei a troca porém até o momento nada. Enviaram o produto errado e agora informam que a troca não pode ser feita.,Pedido Errado,produto errado
"Comprei, esperei, esperei e até agora nada. Ainda tenho esperança. Quem sabe houve algum problema que venha a ser resolvido.",Outros,comprei
"Eu comprei um celular smartphone , não chegou não recomendo comprar nesta loja targaryen e lannister porque não chegou meu produto. Eu comprei está data,07/06/2017. Era pra chegar no dia .05/07/2017.",Logística,chegada
O problema não é com a loja mais sim com o produto tem que deixar carregando o dia inteiro pra ouvir meia hora de música e não funciona enquanto carrega desliga sozinho.,Qualidade,defeito
O relógio está com defeito onde efetuo a troca do mesmo ou seu reparo.,Qualidade,defeito
Paguei e ainda não recebi e com toda certeza não receberei. Um simples controle remoto. Péssimo serviço. Loja não recomendada. Paguei à vista. A data de compra foi 13/12.,Qualidade,qualidade
"A colcha que eu comprei vinha com 03 peças, e essa só veio 02 peças , 01 colcha ,e 01 porta travesseiro!então no caso ficou faltando o porta travesseiro!então eu aguardo uma resposta do vendedor",Pedido Errado,faltando
"Não entregaram no prazo, já tá com mais de 30 dias, uma mísera tesoura. Eu tive que comprar uma por aqui. Pq a empresa não se comprometeu nem de manda uma email pra me tranquilizar.",Atendimento,email
MUITO MAU ACABADO NÃO RECOMENDO,Outros,análise inconclusiva
Me entregaram um tapete errado. Estou aguardando providencias,Pedido Errado,produto errado
"O produto não foi entregue, porém no site dos correios consta que foi entregue. Estou aguardando resposta.",Pedido Errado,cor
PRODUTO NÃO ENTREGUE COM MUITO ATRASO E SEM PREVISÃO!!!!! PRECISO DE UM RETORNO COM URGENCIA.,Logística,atraso
"O produto chegou no prazo e intacto, porém não funciona.Coloquei o aspirador de carro com tomada para o ascendedor de cigarros no aparelho já conectado na tomada e nada, não funciona.embora 12v",Qualidade,funcionalidade
Foi a segunda vez que tentei comprar com essa loja e o pedido não foi entregue no prazo.,Logística,prazo
A nota fiscal foi emitida no dia que deram de prazo para entrega. Até agora o produto não chegou!,Logística,prazo
Estou muito chateada n foi entregue e eles não deram nem uma satisfação falta de respeito comigo.Minha filha está indo p a escola sem mochila.  Super chateada.,Logística,status entrega
"Comprei toalhas Karsten e recebi um jogo de tolhas de pessima qualidade, preciso devolver esta mercadoria.",Atendimento,devolução
"Produto não é o mesmo mostrado, o fone não é auricular e tem cerca de 30cm, a embalagem veio danificada, rachada e faltando pedaço, o vendedor não retorna o pedido de devolução e ressarcimento.",Pedido Errado,faltando
"Estou com problemas de pedido. O parceiro não responde, envia pedido errado e não retorna.",Pedido Errado,produto errado
a quase um mês foi feito o pedido do relógio e pago via boleem se quer to e até agora nada. Mandei dois emails e nem se quer me deram satisfação; LOJAS OSLIT PRA MIM TA FORA. lannister SEM PRESTIGI,Atendimento,email
"Meu produto não chegou até hoje, e preciso dele para sábado, sem falta. Ou seja, a entrega precisa ser feita até sexta feira, dia 27/10/2017.",Logística,entrega
"Uma das peças que comprei não veio,veio a caixinha vazia,mas a outra veio certo.",Outros,comprei
Comprei e paguei o produto ha mais de 20 dias e ainda não recebi o mesmo.,Logística,recebimento
Cancelaram minha compra  Não sei nem. O motivo,Outros,análise inconclusiva
"Comprei um relogio, veio outro, mandei msgs, ninguém responde, ninguém retorna! Vendi pra uma amiga pra não perder meu dinheiro!! Não compreeem!! Mandam errado e não respondem os clientes!",Pedido Errado,produto errado
Nunca vi demorar tanto pra entrega pela internet primeira vez,Logística,atraso
ja faz um mes que fiz meu oedido um conjunto de potes de cozinha de aluminio(5) branco de bolas pretasme ate agora não recebi.quero saber qual a providençia que essa empresa ira tomar,Pedido Errado,cor
Sinceramente comprei uma navalha e um kit tesouras fio navalha da marcar o lista e veio errado o rastreamento do produto indica que veio o kit de tesouras e ao invés venho a navalha queria uma explica,Pedido Errado,produto errado
"O produto oferecido no anúncio é um, mas o que foi entregue se difere de forma que altera seu funcionamento.",Qualidade,funcionalidade
Ainda não recebi o produto nem nenhuma orientação sobre o que fazer da loja,Logística,recebimento
Ainda estou aguardando o produto.,Logística,espera
"O produto não foi entregue, tento falar com a empresa lannister e targaryene e só da instabilidade de página! Nem mesmo consigo cancelar minha compra! Total desrespeito com o cliente!",Atendimento,comunicação
"Comprei um tapete de 2X2.5 e recebi um de 2X1.5. Nas lannister não há a opcao de troca do produto errado, só ressarcir no cartão ou trocar por vale. No site havia ainda anúncio do que comprei.",Pedido Errado,produto errado
como posso avaliar o produto? só posso avaliar o tempo de entrega que por sinal está atrasado.,Logística,entrega
produto inferior ao esperado. Desejo devolve lo.,Qualidade,qualidade
Fiz o pedido em 30-04-2018 e paguei no mesmo dia o valor do produto. É até hoje 09-06-2018 (mais de um mês) não chegou o produto em minha residência. Vou ter que acionar o órgão competente.,Logística,chegada
